Well,Content Name,Concentration (M),Volume (uL),Diluted in,Identifiers (to be added)
E3,E3,0.8,0.02,LB,O=C(C)Oc1ccccc1C(=O)O
E4,E4,0.8,0.02,LB,O=C(C)Oc1ccccc1C(=O)O
E5,E5,0.8,0.02,LB,O=C(C)Oc1ccccc1C(=O)O
E6,E6,0.8,0.02,LB,O=C(C)Oc1ccccc1C(=O)O
E7,E7,0.8,0.02,LB,O=C(C)Oc1ccccc1C(=O)O
E8,E8,0.8,0.02,LB,O=C(C)Oc1ccccc1C(=O)O
E9,E9,0.8,0.02,LB,O=C(C)Oc1ccccc1C(=O)O
E10,E10,0.8,0.02,LB,O=C(C)Oc1ccccc1C(=O)O
E11,E11,0.8,0.02,LB,O=C(C)Oc1ccccc1C(=O)O
E12,E12,0.8,0.02,LB,O=C(C)Oc1ccccc1C(=O)O
F1,F1,0.8,0.02,LB,O=C(C)Oc1ccccc1C(=O)O
F2,F2,0.8,0.02,LB,O=C(C)Oc1ccccc1C(=O)O
F3,F3,0.8,0.02,LB,O=C(C)Oc1ccccc1C(=O)O
F4,F4,0.8,0.02,LB,O=C(C)Oc1ccccc1C(=O)O
F5,F5,0.8,0.02,LB,O=C(C)Oc1ccccc1C(=O)O
F6,F6,0.8,0.02,LB,O=C(C)Oc1ccccc1C(=O)O
F7,F7,0.8,0.02,LB,O=C(C)Oc1ccccc1C(=O)O
F8,F8,0.8,0.02,LB,O=C(C)Oc1ccccc1C(=O)O
F9,F9,0.8,0.02,LB,O=C(C)Oc1ccccc1C(=O)O
F10,F10,0.8,0.02,LB,O=C(C)Oc1ccccc1C(=O)O
F11,F11,0.8,0.02,LB,O=C(C)Oc1ccccc1C(=O)O
F12,F12,0.8,0.02,LB,O=C(C)Oc1ccccc1C(=O)O
G1,G1,0.8,0.02,LB,O=C(C)Oc1ccccc1C(=O)O
G2,G2,0.8,0.02,LB,O=C(C)Oc1ccccc1C(=O)O
G3,G3,0.8,0.02,LB,O=C(C)Oc1ccccc1C(=O)O
G4,G4,0.8,0.02,LB,O=C(C)Oc1ccccc1C(=O)O
G5,G5,0.8,0.02,LB,O=C(C)Oc1ccccc1C(=O)O
G6,G6,0.8,0.02,LB,O=C(C)Oc1ccccc1C(=O)O
G7,G7,0.8,0.02,LB,O=C(C)Oc1ccccc1C(=O)O
G8,G8,0.8,0.02,LB,O=C(C)Oc1ccccc1C(=O)O
G9,G9,0.8,0.02,LB,O=C(C)Oc1ccccc1C(=O)O
G10,G10,0.8,0.02,LB,O=C(C)Oc1ccccc1C(=O)O
G11,G11,0.8,0.02,LB,O=C(C)Oc1ccccc1C(=O)O
G12,G12,0.8,0.02,LB,O=C(C)Oc1ccccc1C(=O)O
H1,H1,0.8,0.02,LB,O=C(C)Oc1ccccc1C(=O)O
H2,H2,0.8,0.02,LB,O=C(C)Oc1ccccc1C(=O)O
H3,H3,0.8,0.02,LB,O=C(C)Oc1ccccc1C(=O)O
H4,H4,0.8,0.02,LB,O=C(C)Oc1ccccc1C(=O)O
H5,H5,0.8,0.02,LB,O=C(C)Oc1ccccc1C(=O)O
H6,H6,0.8,0.02,LB,O=C(C)Oc1ccccc1C(=O)O
H7,H7,0.8,0.02,LB,O=C(C)Oc1ccccc1C(=O)O
H8,H8,0.8,0.02,LB,O=C(C)Oc1ccccc1C(=O)O
H9,H9,0.8,0.02,LB,O=C(C)Oc1ccccc1C(=O)O
H10,H10,0.8,0.02,LB,O=C(C)Oc1ccccc1C(=O)O
H11,H11,0.8,0.02,LB,O=C(C)Oc1ccccc1C(=O)O
H12,H12,0.8,0.02,LB,O=C(C)Oc1ccccc1C(=O)O
